# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep1_tags
#
# total peaks = 11103
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 160
# genome size = 2000000000
# Total tags = 25256038.0
# Total tags in peaks = 1060916.0
# Approximate IP efficiency = 4.20%
# tags per bp = 0.001100
# expected tags per peak = 0.330
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.331788e-08
# FDR tag threshold = 7.0
# number of putative peaks = 13440
#
# input tag directory = INPUT_rep1_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 2187
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 143
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 7
#
# cmd = findPeaks IP_rep1_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep1_tags -o IP_rep1_vs_INPUT_rep1_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr20-1	chr20	57264308	57264608	+	782.0	0.710	173.000000	1747.1	147.0	11.88	0.00e+00	12.63	0.00e+00	0.78
chr20-2	chr20	47319794	47320094	+	727.7	0.851	151.000000	1625.9	92.0	17.67	0.00e+00	20.27	0.00e+00	0.84
chr15-1	chr15	50355225	50355525	+	652.9	0.726	166.000000	1458.7	13.0	112.21	0.00e+00	48.29	0.00e+00	0.69
chr1-1	chr1	205211596	205211896	+	591.5	0.869	110.000000	1321.6	12.0	110.13	0.00e+00	131.98	0.00e+00	0.97
chr16-1	chr16	11915922	11916222	+	552.3	0.862	118.000000	1234.0	7.0	176.29	0.00e+00	206.90	0.00e+00	0.84
chr5-1	chr5	178078249	178078549	+	538.5	0.933	92.000000	1203.0	13.0	92.54	0.00e+00	45.90	0.00e+00	1.10
chr17-4	chr17	61568659	61568959	+	468.8	0.747	79.000000	1047.4	115.0	9.11	0.00e+00	17.98	0.00e+00	1.12
chr17-3	chr17	59964497	59964797	+	466.0	0.852	102.000000	1041.2	68.0	15.31	0.00e+00	25.73	0.00e+00	0.87
chr20-3	chr20	47501726	47502026	+	455.3	0.751	107.000000	1017.3	136.0	7.48	0.00e+00	13.62	0.00e+00	0.80
chr15-2	chr15	70463055	70463355	+	452.6	0.805	111.000000	1011.1	3.0	337.03	0.00e+00	66.47	0.00e+00	0.77
chr1-2	chr1	113904840	113905140	+	448.2	0.742	101.000000	1001.4	37.0	27.06	0.00e+00	39.83	0.00e+00	0.85
chr8-1	chr8	102600917	102601217	+	440.7	0.831	86.000000	984.6	12.0	82.05	0.00e+00	91.80	0.00e+00	0.96
